hyprutils-git 0.2.6.r4.ge6cf45cd-1
hyprwayland-scanner-git 0.4.2.r2.g90e87f7f-1
i2c-tools 4.4-1.1
iana-etc 20241206-1
icoextract 0.1.5-1
icu 75.1-1.1
ifuse 1.1.4-5.1
iio-sensor-proxy 3.5-2.2
ijs 0.35-6.1
illogical-impulse-ags-debug r525.05e0f23-1
illogical-impulse-backlight 1.0-1
illogical-impulse-basic 1.0-1
illogical-impulse-bibata-modern-classic-bin 2.0.6-1
illogical-impulse-fonts-themes 1.0-1
illogical-impulse-gnome 1.0-1
illogical-impulse-microtex-git r494.0e3707f-1
illogical-impulse-microtex-git-debug r492.d87ebec-1
illogical-impulse-oneui4-icons-git r64.9ba2190-1
illogical-impulse-portal 1.0-1
illogical-impulse-pymyc-aur 1.0-1
illogical-impulse-python 1.0-1
illogical-impulse-screencapture 1.0-1
illogical-impulse-widgets 1.0-1
imagemagick 7.1.1.41-1.1
imath 3.1.12-1.1
imlib2 1.12.3-2.1
inetutils 2.5-1.1
iniparser 4.2.4-1.1
intel-compute-runtime 24.45.31740.9-1.1
intel-gmmlib 22.5.4-1.1
intel-graphics-compiler 1:2.1.12-1.1
intel-media-driver 24.4.4-1.1
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-shared-runtime 2024.1.0-1.1
intel-oneapi-compiler-shared-runtime-libs 2024.1.0-1.1
intel-oneapi-openmp 2024.1.0-1.1
intel-oneapi-tcm 1.0.1-3.1
intel-ucode 20241112-1
inxi 3.3.36.1-1
iproute2 6.12.0-1.1
iptables-nft 1:1.8.10-2.1
iputils 20240905-1.1
ipython 8.29.0-1
irqbalance 1.9.4-2
irssi 1.4.5-4.1
iso-codes 4.17.0-1
iwd 3.2-1.1
jansson 2.14-4.1
jasper 4.2.4-2.1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jdk 23.0.1-1
jemalloc 1:5.3.0-4.1
jfsutils 1.1.15-9.1
jq 1.7.1-2.1
jre-openjdk 23.0.1.u0-1
js115 115.18.0-1.1
js128 128.5.1-1.1
json-c 0.18-1.1
json-glib 1.10.6-1.1
jsoncpp 1.9.6-3.1
jxrlib 0.2.4-2.1
kaccounts-integration 24.12.0-1.1
kactivitymanagerd 6.2.4-1.1
karchive 6.9.0-1.1
karchive5 5.116.0-1.1
kauth 6.9.0-1.1
kauth5 5.116.0-1.1
kbd 2.7-1.1
kbookmarks 6.9.0-1.1
kbookmarks5 5.116.0-1.1
kcalendarcore 6.9.0-1.1
kcmutils 6.9.0-1.1
kcodecs 6.9.0-1.2
kcodecs5 5.116.0-1.4
kcolorpicker 0.3.1-4
kcolorscheme 6.9.0-1.1
kcompletion 6.9.0-1.1
kcompletion5 5.116.0-1.2
kconfig 6.9.0-1.1
kconfig5 5.116.0-1.1
kconfigwidgets 6.9.0-1.1
kconfigwidgets5 5.116.0-1.1
kcontacts 1:6.9.0-1.1
kcoreaddons 6.9.0-2.1
kcoreaddons5 5.116.0-1.1
kcrash 6.9.0-1.1
kcrash5 5.116.0-1.1
kdbusaddons 6.9.0-1.1
kdbusaddons5 5.116.0-1.1
kde-cli-tools 6.2.4-1.1
kdeclarative 6.9.0-1.1
kdecoration 6.2.4-1.1
kded 6.9.0-1.1
kded5 5.116.0-1.1
kdesu 6.9.0-1.1
kdnssd 6.9.0-1.1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1.1
keyutils 1.6.3-3.1
kfilemetadata 6.9.0-1.1
kglobalaccel 6.9.0-1.1
kglobalaccel5 5.116.0-1.1
kglobalacceld 6.2.4-1.1
kguiaddons 6.9.0-2.1
kguiaddons5 5.116.0-1.1
kholidays 1:6.9.0-1.1
ki18n 6.9.0-1.1
ki18n5 5.116.0-1.1
kiconthemes 6.9.0-1.1
kiconthemes5 5.116.0-1.1
kidentitymanagement 24.12.0-1.1
kidletime 6.9.0-1.1
kimageannotator 0.7.1-3
kio 6.9.0-1.1
kio-extras 24.12.0-1.1
kio-fuse 5.1.0-3.2
kio5 5.116.0-1.2
kirigami 6.9.0-1.1
kirigami-addons 1.6.0-1.1
kirigami2 5.116.0-1.1
kitemmodels 6.9.0-1.1
kitemviews 6.9.0-1.1
kitemviews5 5.116.0-1.1
kjobwidgets 6.9.0-1.1
kjobwidgets5 5.116.0-1.1
kleopatra 24.12.0-1.1
kmailtransport 24.12.0-1.1
kmbox 24.12.0-1.1
kmime 24.12.0-1.1
kmod 33-3.1
knewstuff 6.9.0-1.1
knotifications 6.9.0-2.1
knotifications5 5.116.0-1.2
knotifyconfig 6.9.0-1.1
kpackage 6.9.0-1.1
kparts 6.9.0-1.1
kpimtextedit 24.12.0-1.1
kpipewire 6.2.4-1.1
kpmcore 24.12.0-1.1
kpty 6.9.0-1.1
kquickcharts 6.9.0-1.1
krb5 1.21.3-1.1
krunner 6.9.0-1.1
kscreenlocker 6.2.4-1.1
kservice 6.9.0-1.1
kservice5 5.116.0-1.1
ksmtp 24.12.0-1.1
kstatusnotifieritem 6.9.0-1.1
ksvg 6.9.0-1.1
ksystemstats 6.2.4-1.1
ktextaddons 1.5.4-1.1
ktexteditor 6.9.0-1.1
ktextwidgets 6.9.0-1.1
ktextwidgets5 5.116.0-1.1
kunitconversion 6.9.0-2.1
kuserfeedback 6.9.0-1.1
kvantum-git 1.1.3.r13.gef045199-1
kvantum-qt5-git 1.1.3.r13.gef045199-1
kvantum-theme-catppuccin-git r15.a87694e-1
kwallet 6.9.0-1.1
kwallet-pam 6.2.4-1.1
kwallet5 5.116.0-1.1
kwalletmanager 24.12.0-1.1
kwayland 6.2.4-1.1
kwidgetsaddons 6.9.0-2.1
kwidgetsaddons5 5.116.0-1.1
kwin 6.2.4-4
kwindowsystem 6.9.0-1.1
kwindowsystem5 5.116.0-1.2
kxmlgui 6.9.0-2.1
kxmlgui5 5.116.0-1.1
l-smash 2.14.5-4.1
lame 3.100-5.1
lapack 3.12.0-5.1
layer-shell-qt 6.2.4-2.1
lazygit 0.44.1-1.1
lcms2 2.16-1.1
ldb 2:4.21.2-1.1
leptonica 1.85.0-2.1
lerc 4.0.0-1
less 1:668-1.1
level-zero-loader 1.18.5-2
lexend-fonts-git 1:r114.7894f02-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
